uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
48029,Oliver Olsen,Normal,N\A,244471,63,3,7,-1,-1,0,0,0,0,5,9,0,0,0,1,3,66,70,56,52,71,64,72,53,67,45,53,54,43,64,63,62,46,41,58,64,64,54,53,64,61,63,43,56,35,10,10,10,10,10
48030,Halvor Rødølen Opsahl,Normal,N\A,267694,63,5,-1,-1,-1,0,0,0,0,11,13,0,0,0,1,3,54,57,47,64,69,55,75,59,61,48,62,26,30,54,30,40,22,20,60,54,58,63,35,54,64,62,22,30,39,10,10,10,10,10
48031,Alexandru Oroian,Normal,N\A,257809,63,7,3,-1,-1,65536,0,0,0,9,5,0,0,0,2,2,81,83,83,87,66,67,60,59,55,53,57,52,58,63,59,64,60,37,45,55,62,57,65,55,57,55,42,64,52,10,10,10,10,10
48032,Rasmus Örqvist,Normal,N\A,267412,63,18,14,23,-1,0,0,0,0,31,33,18,0,0,2,3,70,67,65,66,77,84,81,62,65,64,65,65,62,64,54,63,62,39,58,62,64,58,62,62,64,61,42,51,44,10,10,10,10,10
48033,Eneko Ortiz Díaz,Normal,N\A,278917,63,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,2,3,77,70,68,64,69,68,59,60,65,48,55,52,50,60,55,52,23,34,56,53,58,51,25,53,66,63,24,32,31,10,10,10,10,10
48034,Josefine Osigus,Normal,N\A,278000,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,22,48,21,50,35,19,30,62,19,17,14,18,16,11,15,10,12,18,12,14,13,15,44,14,15,14,14,17,19,63,64,58,63,61
48035,Jesse Öst,Normal,N\A,272646,63,0,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,4,27,31,32,28,64,30,75,63,36,42,23,8,62,25,10,15,7,27,25,45,43,12,49,45,18,24,20,35,31,62,63,65,63,61
48036,Bogdan Oteliță,Normal,N\A,275883,63,3,7,-1,-1,0,0,0,0,5,9,0,0,0,1,2,81,84,66,72,61,66,48,50,52,50,58,47,44,55,55,48,28,34,50,48,55,57,33,48,61,63,24,52,38,10,10,10,10,10
48037,Fabricio Oviedo,Normal,N\A,271471,63,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,1,3,53,53,54,62,67,66,67,63,34,51,21,61,47,64,41,61,66,37,70,48,52,39,67,48,30,34,63,59,59,10,10,10,10,10
48038,Yasin Özcan,Normal,N\A,271362,63,7,5,-1,-1,20480,0,0,0,7,11,0,0,0,1,2,63,67,62,53,67,69,64,58,70,58,63,38,28,58,47,52,25,20,60,47,57,66,62,47,65,63,22,40,43,10,10,10,10,10
48039,Can Özkan,Normal,N\A,242268,63,3,7,10,-1,0,0,0,0,4,5,14,0,0,1,3,77,69,70,70,80,74,79,57,66,60,57,49,58,61,52,59,32,39,55,59,61,59,63,59,60,59,41,44,49,10,10,10,10,10
48040,David Ozoh,Normal,N\A,273693,63,10,14,-1,-1,0,0,0,0,14,18,0,0,0,1,3,64,65,69,67,70,60,75,62,74,58,64,58,52,63,49,65,54,41,55,56,64,52,55,56,65,63,40,52,50,10,10,10,10,10
48041,Antonio Pacheco Ruiz,Normal,N\A,269644,63,18,12,14,-1,0,0,0,0,31,33,18,0,0,2,3,60,60,62,59,63,64,61,60,62,49,59,62,64,67,59,62,58,48,58,63,65,59,59,63,57,57,38,40,55,10,10,10,10,10
48042,Alejandro Padilla Pérez,Normal,N\A,271034,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,34,27,31,34,49,19,52,47,25,21,7,7,22,15,13,10,6,11,8,20,22,5,45,20,15,10,5,12,16,64,64,60,62,67
48044,Ollie Palmer,Normal,N\A,219550,63,25,-1,-1,-1,134217744,0,0,0,41,44,0,0,0,1,3,46,42,32,34,67,56,91,61,84,65,24,63,60,63,40,56,65,39,67,52,60,13,64,52,32,30,64,42,64,10,10,10,10,10
48045,Federico Paradela,Normal,N\A,263718,63,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,2,3,67,69,72,73,53,68,59,60,44,64,50,60,65,66,54,66,56,50,44,66,64,53,57,66,53,49,49,56,55,10,10,10,10,10
48046,Abel Paredes,Normal,N\A,275003,63,7,-1,-1,-1,0,0,0,0,9,0,0,0,0,1,2,62,57,59,64,61,71,77,59,46,44,60,42,30,58,59,48,24,34,40,40,56,63,21,40,66,63,28,43,31,10,10,10,10,10
48047,Martín Parra,Normal,N\A,256220,63,0,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,3,29,33,29,43,48,27,52,60,19,22,7,5,28,14,12,12,5,12,11,23,22,5,43,23,13,11,7,10,12,62,61,57,65,63
48048,Paula Partido Durán,Normal,N\A,273912,63,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,2,3,69,68,54,54,46,50,34,59,40,55,37,61,55,72,52,71,70,56,51,55,66,35,62,55,29,25,62,55,51,10,10,10,10,10
48049,Tim Paterok,Normal,N\A,218873,63,0,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,2,33,34,39,38,53,34,55,47,20,35,15,15,31,20,15,19,13,14,12,28,29,6,47,28,16,14,16,18,21,66,62,62,66,63
48050,Alex Pattison,Normal,N\A,230812,63,14,12,18,-1,8388608,0,0,0,22,23,0,0,0,2,3,82,81,84,84,82,82,67,62,62,63,62,62,62,62,55,62,60,53,54,62,64,55,60,62,60,58,45,55,60,10,10,10,10,10
48051,Cristian Paz,Normal,N\A,226411,63,5,-1,-1,-1,0,0,0,0,11,12,0,0,0,1,2,53,53,49,49,73,50,79,58,65,53,55,24,29,45,29,39,33,39,66,37,41,70,40,37,64,57,37,33,42,10,10,10,10,10
48052,Leire Peña Ruiz,Normal,N\A,272033,63,10,5,-1,-1,0,0,0,0,15,13,0,0,0,1,3,70,70,50,34,72,66,62,51,69,66,70,60,60,65,40,60,40,55,70,50,60,60,55,50,70,62,45,61,45,10,10,10,10,10
48053,Xinli Peng,Normal,N\A,217160,63,10,14,-1,-1,262144,0,0,0,14,18,0,0,0,2,3,78,74,80,78,75,76,64,63,64,67,61,61,59,61,59,60,58,67,60,61,62,63,65,61,62,57,62,66,60,10,10,10,10,10
48054,Kevin Pereira,Normal,N\A,267628,63,16,12,18,27,131072,0,0,0,27,0,0,0,0,2,3,69,71,70,72,45,42,49,44,39,54,23,51,55,68,64,72,63,44,36,62,63,21,45,62,26,28,49,51,59,10,10,10,10,10
48055,Carlos Pérez,Normal,N\A,231711,63,5,-1,-1,-1,0,0,0,0,12,0,0,0,0,1,3,47,47,50,48,69,62,74,52,62,58,60,21,32,51,48,36,22,25,69,38,56,65,32,38,66,62,22,30,34,10,10,10,10,10
48057,Simeon Petrov,Normal,N\A,244982,63,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,2,53,53,56,32,69,56,71,63,48,50,60,22,31,61,28,55,22,30,64,40,57,64,36,40,65,63,22,22,40,10,10,10,10,10
48058,Tom Pett,Normal,N\A,223902,63,14,10,-1,-1,0,0,0,0,18,20,14,0,0,2,4,55,50,81,80,40,82,47,63,63,64,63,58,62,62,58,60,53,56,37,62,64,51,58,62,61,60,51,59,56,10,10,10,10,10
48059,Casey Yujin Phair,Normal,N\A,276482,63,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,2,3,71,70,51,51,79,52,75,56,28,58,10,56,53,65,34,63,65,54,67,43,58,11,61,43,14,12,57,42,56,10,10,10,10,10
48060,David Philipp,Normal,N\A,243932,63,25,18,-1,-1,33,0,0,0,43,31,0,0,0,2,4,75,81,77,74,56,64,57,63,46,60,38,60,61,67,45,67,62,59,43,50,63,45,70,50,37,27,59,63,42,10,10,10,10,10
48061,Matteo Piacentini,Normal,N\A,268936,63,5,-1,-1,-1,0,0,0,0,13,0,0,0,0,1,2,59,64,59,68,68,65,72,62,70,43,61,28,32,48,47,34,40,32,57,37,45,62,51,37,70,64,30,34,35,10,10,10,10,10
48062,Maksymilian Pingot,Normal,N\A,270540,63,5,-1,-1,-1,0,0,0,0,11,12,0,0,0,1,2,66,59,44,61,73,66,77,57,64,49,61,32,33,57,28,38,28,33,58,61,56,63,44,61,63,60,39,35,44,10,10,10,10,10
48063,Ricardo Manuel Pinho Matos,Normal,N\A,256100,63,25,12,-1,-1,262144,0,0,0,41,42,26,0,0,2,4,72,70,72,67,71,69,60,61,48,61,28,62,68,66,51,65,63,58,62,50,57,19,65,50,25,22,60,55,65,10,10,10,10,10
48064,Joel Pinto,Normal,N\A,253638,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,1,52,49,58,46,65,33,69,66,24,28,23,15,34,24,11,14,13,11,13,26,41,7,44,26,13,15,11,20,13,59,62,59,62,64
48065,Hugo Alberto Pires Cunha,Normal,N\A,276900,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,18,20,21,22,58,23,74,45,19,29,14,4,39,17,14,12,8,11,13,20,28,7,49,20,10,13,5,12,18,68,60,65,68,61
48066,Matthew Platt,Normal,N\A,234261,63,5,-1,-1,-1,1152,0,0,0,11,13,0,0,0,1,3,55,59,53,61,75,71,82,58,65,52,61,25,45,52,33,52,25,25,62,55,51,60,37,55,61,60,27,25,34,10,10,10,10,10
48067,Denis-Will Poha,Normal,N\A,230860,63,14,10,-1,-1,0,0,0,0,19,14,0,0,0,2,3,71,60,62,70,64,72,60,64,70,56,67,52,56,65,49,64,46,62,51,64,67,63,62,64,64,62,42,60,48,10,10,10,10,10
48068,Liam Polworth,Normal,N\A,204275,63,14,-1,-1,-1,0,0,0,0,18,20,0,0,0,2,4,63,63,65,73,60,66,61,59,59,62,58,59,63,64,67,65,57,65,50,67,67,59,60,67,57,57,58,68,60,10,10,10,10,10
48069,Paris Polykarpou,Normal,N\A,263388,63,10,5,-1,-1,0,0,0,0,15,13,0,0,0,1,3,64,63,59,65,63,72,59,59,68,55,60,40,45,65,41,49,29,32,59,59,64,65,47,59,65,61,28,40,39,10,10,10,10,10
48070,Walter Ponce,Normal,N\A,231484,63,25,16,-1,-1,0,0,0,0,41,27,0,0,0,2,3,64,67,65,57,70,58,67,48,53,57,18,65,37,66,37,65,65,49,64,49,54,35,65,49,18,14,48,33,57,10,10,10,10,10
48071,Alexandar Popović,Normal,N\A,264070,63,5,-1,-1,-1,2176,0,0,0,11,12,13,0,0,1,3,64,70,71,60,73,67,79,61,73,59,61,35,48,51,32,47,29,31,57,59,57,59,43,59,62,61,28,33,29,10,10,10,10,10
48072,Marcos Portillo,Normal,N\A,269620,63,14,10,-1,-1,0,0,0,0,18,14,0,0,0,1,3,73,71,62,75,53,60,43,62,67,55,60,63,60,64,50,68,56,53,54,64,65,44,62,64,64,63,45,49,50,10,10,10,10,10
48073,Bruno Poveda,Normal,N\A,269137,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,58,35,49,50,66,45,68,46,20,33,11,4,37,13,13,14,8,11,11,16,28,7,45,16,14,10,5,11,11,63,66,60,64,65
48074,Jack Powell,Normal,N\A,209368,63,14,-1,-1,-1,140,0,0,0,18,0,0,0,0,2,3,59,65,83,79,50,83,61,59,55,62,54,59,64,62,60,60,55,63,36,66,63,55,70,66,58,52,49,65,59,10,10,10,10,10
48075,Laura Prieur,Normal,N\A,267664,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,31,33,34,41,56,25,65,57,23,28,13,9,28,17,13,11,7,13,11,21,24,11,44,21,13,11,8,12,17,65,61,59,68,59
48076,John-Joe O'Toole,Normal,N\A,186590,59,5,-1,-1,-1,49152,0,0,0,11,12,0,0,0,1,3,33,39,53,47,62,47,76,55,81,56,56,50,53,46,46,42,46,47,59,49,52,55,52,49,57,57,41,43,53,10,10,10,10,10
48077,Zech Obiero,Normal,N\A,267744,59,14,10,18,-1,0,0,0,0,18,31,0,0,0,2,3,75,72,80,83,56,65,51,58,59,60,56,55,61,60,46,59,48,38,48,57,61,55,50,57,59,57,43,46,38,10,10,10,10,10
48078,Chituru Odunze,Normal,N\A,259550,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,23,31,35,29,54,21,68,59,19,22,8,5,35,17,12,11,6,14,12,21,21,7,41,21,12,14,5,13,14,59,58,55,60,57
48079,Idris Odutayo,Normal,N\A,270683,59,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,1,2,72,74,65,60,68,68,69,54,50,52,53,49,44,51,55,53,33,58,52,43,48,55,60,43,56,54,30,59,43,10,10,10,10,10
48080,Jae Suk Oh,Normal,N\A,232626,59,3,7,-1,-1,8192,0,0,0,3,7,0,0,0,1,4,58,57,59,69,63,58,64,54,60,58,56,53,53,55,58,58,31,32,57,53,57,56,37,53,57,56,31,56,34,10,10,10,10,10
48081,Darren Oldaker,Normal,N\A,230590,59,10,14,-1,-1,327808,0,0,0,14,18,0,0,0,2,3,69,70,71,66,62,71,62,57,56,58,54,55,59,60,50,59,45,56,51,62,61,49,62,62,55,51,43,63,38,10,10,10,10,10
48082,Christopher Olivier,Normal,N\A,73584,59,14,10,18,-1,0,0,0,0,18,14,0,0,0,1,4,69,73,64,66,64,68,67,56,55,52,55,49,58,63,50,59,56,52,52,60,62,54,58,60,55,53,48,62,40,10,10,10,10,10
48083,Marius Olsen,Normal,N\A,71858,59,5,-1,-1,-1,0,0,0,0,12,13,0,0,0,1,3,52,55,43,51,64,63,65,58,56,52,57,21,32,52,24,47,31,27,61,45,55,56,42,45,61,57,24,27,36,10,10,10,10,10
48084,Tani Oluwaseyi,Normal,N\A,271108,59,25,23,-1,-1,0,0,0,0,42,44,35,0,0,2,4,72,80,74,58,69,61,60,50,55,57,20,58,49,55,35,57,63,43,59,31,49,26,61,31,29,26,44,36,60,10,10,10,10,10
48085,Chilohem Onuoha,Normal,N\A,73426,59,18,23,25,-1,0,0,0,0,31,41,0,0,0,1,4,65,69,61,60,52,54,60,59,45,54,29,54,53,61,54,64,58,52,40,58,62,35,50,58,31,42,46,44,49,10,10,10,10,10
48086,Tyler Onyango,Normal,N\A,263168,59,14,18,-1,-1,0,0,0,0,22,31,0,0,0,1,3,52,50,34,35,70,71,80,58,69,52,54,59,60,57,45,62,37,40,58,62,64,44,63,62,57,56,45,43,50,10,10,10,10,10
48087,Enock Otoo,Normal,N\A,278365,59,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,1,3,76,80,58,61,53,55,51,56,53,54,46,57,61,60,32,58,56,35,41,56,58,43,46,56,44,50,27,38,39,10,10,10,10,10
48088,Gabriel Oualengbe,Normal,N\A,276554,59,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,1,3,52,59,51,51,56,60,68,56,60,60,60,54,61,62,46,55,47,46,49,60,63,56,56,60,62,54,39,54,39,10,10,10,10,10
48089,Aston Oxborough,Normal,N\A,225751,59,0,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,2,44,42,41,49,55,33,57,55,23,26,26,15,41,24,18,14,10,14,12,30,29,11,42,30,20,13,20,16,21,59,60,56,57,58
48090,Mark Oxley,Normal,N\A,186494,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,31,28,55,52,55,30,65,56,40,45,26,14,43,23,13,15,12,11,11,38,35,20,46,38,13,13,15,16,13,56,59,61,56,60
48091,Daniel Oyegoke,Normal,N\A,262930,59,5,3,-1,-1,65536,0,0,0,11,3,0,0,0,1,3,72,80,63,66,66,57,65,54,58,54,54,51,44,55,52,62,37,36,50,48,55,60,38,48,62,62,34,34,42,10,10,10,10,10
48092,Daniel Padilla,Normal,N\A,275041,59,14,27,-1,-1,0,0,0,0,18,38,0,0,0,1,3,68,66,61,83,54,57,45,60,40,43,32,55,54,58,55,61,52,30,55,68,69,38,51,68,55,55,40,36,65,10,10,10,10,10
48093,Gerardo Padrón,Normal,N\A,274896,59,14,12,18,-1,0,0,0,0,18,0,0,0,0,1,3,62,72,60,92,37,55,28,52,45,58,38,55,63,63,47,64,45,44,45,61,64,30,49,61,55,50,50,53,53,10,10,10,10,10
48094,Sang Hoon Paik,Normal,N\A,261060,59,14,-1,-1,-1,0,0,0,0,21,0,0,0,0,2,3,58,64,70,80,39,55,45,67,40,54,34,51,64,63,42,64,43,41,38,63,61,41,48,63,54,52,42,47,49,10,10,10,10,10
48095,Krystian Palacz,Normal,N\A,261088,59,7,-1,-1,-1,0,0,0,0,9,0,0,0,0,1,2,82,75,71,72,57,62,55,58,60,49,59,50,55,56,49,53,26,29,36,36,44,58,28,36,55,51,28,42,37,10,10,10,10,10
48096,Ximing Pan,Normal,N\A,233449,59,5,-1,-1,-1,0,0,0,0,11,13,0,0,0,1,2,54,66,66,73,66,63,65,50,67,42,56,29,52,44,44,44,30,35,67,52,55,60,41,52,57,56,24,34,39,10,10,10,10,10
48097,Jack Panayotou,Normal,N\A,273555,59,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,1,3,60,62,60,70,48,53,59,55,42,62,38,60,62,70,40,72,45,40,36,57,63,48,54,57,52,50,39,41,44,10,10,10,10,10
48098,Isaiah Parker,Normal,N\A,266369,59,16,7,27,-1,0,0,0,0,28,7,0,0,0,1,3,81,81,78,74,57,51,55,45,39,50,34,52,50,59,58,64,53,35,36,40,52,38,64,40,48,39,39,43,45,10,10,10,10,10
48099,Connor Parsons,Normal,N\A,250815,59,16,23,27,-1,131072,0,0,0,27,35,0,0,0,1,2,82,83,77,69,51,53,40,46,37,42,33,45,58,57,42,63,51,45,45,54,63,45,53,54,48,43,50,58,50,10,10,10,10,10
48100,Patryk Paryzek,Normal,N\A,279626,59,25,23,-1,-1,0,0,0,0,42,44,36,0,0,2,3,51,54,57,68,54,32,49,56,42,52,28,54,52,64,50,61,65,48,66,53,59,36,55,53,55,53,51,47,52,10,10,10,10,10
48101,Josh Passley,Normal,N\A,215815,59,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,3,74,74,68,65,65,74,67,55,65,52,49,51,48,53,58,55,40,41,49,51,55,51,51,51,54,52,36,61,44,10,10,10,10,10
48102,Julian Pauli,Normal,N\A,73956,59,5,-1,-1,-1,0,0,0,0,13,0,0,0,0,1,3,66,67,50,49,67,56,72,49,55,44,57,20,30,45,29,28,20,30,53,44,58,56,38,44,64,59,22,19,35,10,10,10,10,10
48103,Lewis Payne,Normal,N\A,268788,59,3,-1,-1,-1,0,0,0,0,5,0,0,0,0,1,2,67,62,59,53,56,56,58,56,61,42,57,39,41,61,58,58,28,34,48,52,57,56,40,52,58,55,29,57,39,10,10,10,10,10
48104,Everson Junior Pereira da Silva,Normal,N\A,277630,59,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,1,3,72,77,68,67,53,50,59,55,34,55,17,51,53,65,55,66,51,58,34,56,59,18,61,56,22,21,51,60,51,10,10,10,10,10
48105,Gonzalo Petit,Normal,N\A,70333,59,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,1,3,53,55,54,58,66,54,67,54,35,45,23,57,50,60,35,57,66,30,65,44,45,22,60,44,22,20,50,46,67,10,10,10,10,10
48106,Cameron Peupion,Normal,N\A,264124,59,12,18,23,-1,0,0,0,0,23,0,0,0,0,1,3,68,59,58,71,56,47,49,55,51,64,25,50,64,58,56,59,48,55,55,58,62,39,52,58,47,50,49,56,48,10,10,10,10,10
48107,Denis Pfaffenrot,Normal,N\A,70282,59,18,12,-1,-1,0,0,0,0,32,23,0,0,0,2,3,68,70,70,71,50,63,55,54,41,51,22,50,56,66,52,63,48,48,39,54,62,29,49,54,22,28,37,39,51,10,10,10,10,10
48108,Dominik Piła,Normal,N\A,269506,59,3,-1,-1,-1,0,0,0,0,6,0,0,0,0,2,3,73,73,62,58,68,65,61,49,25,54,52,57,58,61,59,57,52,48,55,52,61,52,60,52,52,53,33,61,38,10,10,10,10,10
48109,Oscar Priestman,Normal,N\A,277525,59,14,10,-1,-1,0,0,0,0,19,14,0,0,0,1,3,71,69,71,75,57,73,62,53,67,54,52,59,53,64,40,60,38,44,41,57,64,54,52,57,62,59,33,44,39,10,10,10,10,10
48110,Philip Quinton,Normal,N\A,274537,59,5,-1,-1,-1,0,0,0,0,11,12,0,0,0,1,4,49,53,34,31,69,69,76,47,59,40,57,24,27,36,22,29,19,23,61,49,52,59,34,49,61,55,27,28,43,10,10,10,10,10
48111,Kacper Radkowski,Normal,N\A,248770,59,5,-1,-1,-1,32768,0,0,0,11,13,0,0,0,1,3,54,53,34,34,66,60,72,56,65,52,57,38,43,51,35,51,28,34,56,53,56,56,44,53,59,57,31,34,41,10,10,10,10,10
48112,Josh Rae,Normal,N\A,72712,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,24,25,24,33,43,23,45,50,21,40,15,5,40,13,11,7,8,11,15,16,23,9,47,16,11,12,5,12,12,60,59,62,62,56
48113,Lucía Ramos Narváez,Normal,N\A,275789,59,16,27,-1,-1,0,0,0,0,27,0,0,0,0,2,2,55,44,61,42,47,47,44,59,51,71,38,62,42,62,66,65,53,66,57,61,60,41,61,61,41,34,71,71,61,10,10,10,10,10
48114,Johan Rapp,Normal,N\A,71046,59,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,63,59,42,54,66,63,66,56,55,56,58,28,30,51,29,48,22,28,57,48,55,59,33,48,59,58,21,28,36,10,10,10,10,10
48115,Jadan Raymond,Normal,N\A,278801,59,18,23,-1,-1,0,0,0,0,31,35,0,0,0,2,3,69,66,69,67,46,48,49,54,46,61,25,56,56,61,54,63,56,50,44,54,60,40,58,54,42,36,52,60,48,10,10,10,10,10
48116,Jing Reec,Normal,N\A,277473,59,25,16,-1,-1,0,0,0,0,42,44,27,0,0,2,3,84,80,58,51,72,54,64,52,55,50,31,57,50,54,50,60,58,46,52,40,47,27,62,40,33,29,51,49,52,10,10,10,10,10
48117,TP Rehenesh,Normal,N\A,248325,59,0,-1,-1,-1,268435456,1,0,0,1,0,0,0,0,0,2,31,51,31,43,54,19,49,53,23,28,12,8,24,14,12,7,6,13,13,23,20,8,42,23,13,11,6,12,17,59,58,56,60,58
48118,Gonzalo Requena,Normal,N\A,276104,59,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,2,55,55,49,50,67,64,78,44,49,45,60,27,28,42,36,36,22,35,54,30,33,57,42,30,66,70,36,34,42,10,10,10,10,10
48119,Bailey Rice,Normal,N\A,277266,59,10,-1,-1,-1,0,0,0,0,14,0,0,0,0,1,3,48,56,65,72,48,51,52,59,62,68,52,41,56,65,37,58,31,38,50,64,67,52,52,64,56,52,37,52,42,10,10,10,10,10
48120,Jack Robinson,Normal,N\A,264275,59,10,7,14,-1,0,0,0,0,14,9,22,0,0,1,2,68,64,61,58,66,65,64,58,61,53,56,53,55,58,54,54,33,40,55,54,59,58,40,54,59,58,41,42,41,10,10,10,10,10
48121,Zach Robinson,Normal,N\A,257277,59,25,-1,-1,-1,0,0,0,0,42,44,0,0,0,1,3,70,71,66,52,63,58,62,57,52,55,18,58,51,60,41,61,58,44,53,43,48,34,59,43,18,11,54,55,56,10,10,10,10,10
48122,Braudilio Rodrigues,Normal,N\A,69989,59,27,16,18,23,0,0,0,0,40,31,0,0,0,1,4,72,73,74,73,49,58,39,51,29,59,21,49,52,60,51,64,64,44,50,40,43,19,63,40,21,19,47,50,55,10,10,10,10,10
48123,Carlitos Rodriguez,Normal,N\A,270581,59,3,12,-1,-1,0,0,0,0,5,0,0,0,0,1,2,77,78,75,94,47,69,33,54,46,40,57,56,41,54,55,65,25,31,45,41,53,50,33,41,56,49,23,44,36,10,10,10,10,10
48124,Paulo Rodríguez,Normal,N\A,268556,59,18,-1,-1,-1,0,0,0,0,33,0,0,0,0,2,3,66,65,59,50,44,52,49,60,48,55,41,60,61,58,52,59,49,44,41,58,60,39,54,58,40,45,44,49,55,10,10,10,10,10
48125,Danny Rogers,Normal,N\A,208697,59,0,-1,-1,-1,805306368,0,0,0,1,0,0,0,0,0,3,44,44,37,57,59,21,60,53,22,41,21,12,56,27,14,14,13,14,16,45,39,14,44,45,10,13,20,14,32,60,58,59,60,58
48126,Camilo Romero,Normal,N\A,264754,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,33,55,58,33,55,30,60,55,22,30,22,15,32,21,23,19,12,15,15,30,31,20,41,30,20,20,18,20,30,60,58,55,60,58
48127,Matthieu Rongier,Normal,N\A,264138,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,32,24,29,47,44,24,46,45,22,20,9,6,30,13,11,6,9,13,12,24,25,9,44,24,10,11,7,14,18,60,62,59,59,56
48128,Kacper Rosa,Normal,N\A,215491,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,41,41,34,44,54,33,55,51,22,24,19,19,39,22,15,16,14,15,11,17,22,20,46,17,11,18,20,14,22,59,56,61,60,60
48129,Alexandru Roșca,Normal,N\A,72802,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,29,33,30,34,40,28,40,55,30,24,14,10,35,19,25,15,11,10,18,32,30,11,41,32,17,15,15,11,24,61,57,55,58,57
48130,Andrei Rus,Normal,N\A,257816,59,3,7,-1,-1,0,0,0,0,3,7,0,0,0,1,3,71,74,68,64,52,74,58,59,44,51,52,35,36,50,52,45,26,33,35,40,51,53,33,40,55,57,34,39,32,10,10,10,10,10
48131,Markus Rusek,Normal,N\A,210953,59,10,-1,-1,-1,0,0,0,0,14,0,0,0,0,1,3,52,57,61,70,60,59,70,51,71,44,59,36,43,58,42,57,29,36,54,49,61,54,62,49,61,57,30,42,49,10,10,10,10,10
48132,Nathanaël Saintini,Normal,N\A,264069,59,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,2,52,64,46,49,65,68,78,60,65,52,56,36,42,49,33,38,29,31,52,60,60,59,40,60,57,55,26,31,42,10,10,10,10,10
48133,Sanel Saljic,Normal,N\A,72163,59,18,23,-1,-1,0,0,0,0,31,0,0,0,0,1,2,74,68,77,73,53,37,55,50,45,61,24,53,56,67,42,69,56,49,38,45,49,42,55,45,30,41,43,58,44,10,10,10,10,10
48134,Wassa Sangare,Normal,N\A,277169,59,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,42,70,39,41,68,44,77,49,51,48,49,31,44,51,38,47,29,31,65,52,61,52,53,52,62,56,20,47,37,10,10,10,10,10
48135,Harvey Saunders,Normal,N\A,251261,59,25,23,27,-1,0,0,0,0,42,36,0,0,0,1,2,91,86,69,66,64,69,54,59,41,52,15,59,47,57,43,58,58,39,47,37,53,20,57,37,22,17,52,48,56,10,10,10,10,10
48136,Calum Scanlon,Normal,N\A,278894,59,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,2,2,77,70,69,56,62,54,56,54,59,43,51,54,48,58,56,62,33,40,48,47,57,56,36,47,58,54,33,43,45,10,10,10,10,10
48137,Marcel Schantl,Normal,N\A,244425,59,3,12,-1,-1,0,0,0,0,5,24,0,0,0,1,3,61,63,57,81,50,61,59,58,57,49,57,53,62,61,53,56,44,42,44,59,65,56,51,59,59,49,38,44,43,10,10,10,10,10
48138,Paul Schermer,Normal,N\A,263092,59,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,25,22,24,42,47,18,53,51,22,31,9,6,30,15,11,8,5,12,14,27,25,7,42,27,12,11,9,11,12,62,57,56,61,57
